year,ine_code,name,province_id,autonomous_region_id,population,debt,budget_line_amount,budget_line_amount_per_inhabitant,total_budget,total_budget_per_inhabitant
2015,16003,Alarcón,16,8,148,65000.0,,,0.0,0.0
2015,19005,Alarilla,19,8,90,20000.0,,,0.0,0.0
2015,7001,Alaró,7,4,5275,2337000.0,428400.0,81.21,4041750.0,766.21
2015,25005,Alàs i Cerc,25,9,356,185000.0,,,379901.01,1067.14
2015,2002,Alatoz,2,8,610,417000.0,66150.0,108.44,567467.73,930.27
2015,44007,Alba,44,2,210,0.0,,,0.0,0.0
2015,34006,Alba de Cerrato,34,7,84,0.0,,,109045.0,1298.15
2015,37008,Alba de Tormes,37,7,5309,1092000.0,296139.07,55.78,3077149.69,579.61
2015,37009,Alba de Yeltes,37,7,240,0.0,4986.51,20.78,131807.57,549.21
2015,2003,Albacete,2,8,172121,72141000.0,10582117.78,61.48,138027385.86,801.92
2015,25006,"Albagés, L'",25,9,419,54000.0,7992.32,19.07,410366.2,979.39
2015,46006,Albaida,46,10,5987,9104000.0,620000.0,103.56,7270348.26,1214.35
2015,41003,Albaida del Aljarafe,41,1,3110,0.0,6052.7,1.95,1674385.12,538.4
2015,46007,Albal,46,10,16029,2391000.0,640000.0,39.93,9350405.99,583.35
2015,10007,Albalá,10,11,730,0.0,,,832528.19,1140.45
2015,13004,Albaladejo,13,8,1323,0.0,,,0.0,0.0
2015,16004,Albaladejo del Cuende,16,8,292,0.0,100.0,0.34,215800.0,739.04
2015,46008,Albalat de la Ribera,46,10,3467,0.0,,,1870000.0,539.37
2015,46009,Albalat dels Sorells,46,10,3896,1056000.0,186932.61,47.98,2150940.9,552.09
2015,46010,Albalat dels Tarongers,46,10,1178,19000.0,,,858459.81,728.75
2015,22007,Albalate de Cinca,22,2,1151,248000.0,67308.23,58.48,674338.94,585.87
2015,16005,Albalate de las Nogueras,16,8,272,29000.0,,,0.0,0.0
2015,19006,Albalate de Zorita,19,8,997,128000.0,,,0.0,0.0
2015,44008,Albalate del Arzobispo,44,2,2001,0.0,,,1520200.0,759.71
2015,22008,Albalatillo,22,2,205,10000.0,2450.0,11.95,248804.0,1213.68
2015,4004,Albánchez,4,1,805,92000.0,30530.0,37.93,974730.0,1210.85
2015,23001,Albanchez de Mágina,23,1,1186,963000.0,,,0.0,0.0
2015,17003,Albanyà,17,9,149,0.0,2472.0,16.59,233196.0,1565.08
2015,19007,Albares,19,8,589,0.0,,,468214.52,794.93
2015,44009,Albarracín,44,2,1049,370000.0,73372.0,69.94,1674520.0,1596.3
2015,45003,Albarreal de Tajo,45,8,713,0.0,500.0,0.7,490175.0,687.48
2015,2004,Albatana,2,8,744,160000.0,,,0.0,0.0
2015,25007,Albatàrrec,25,9,2214,736000.0,117000.0,52.85,1510600.0,682.29
2015,3005,Albatera,3,10,11780,5168000.0,630771.75,53.55,8059938.65,684.21
2015,22009,Albelda,22,2,750,289000.0,56705.65,75.61,712000.0,949.34
2015,26005,Albelda de Iregua,26,17,3284,0.0,,,2317934.85,705.82
2015,16006,Albendea,16,8,134,51000.0,,,0.0,0.0
2015,19008,Albendiego,19,8,43,0.0,,,39000.0,906.99
2015,44010,Albentosa,44,2,270,21000.0,32400.0,120.0,591500.0,2190.74
2015,16007,"Alberca de Záncara, La",16,8,1723,324000.0,445149.23,258.36,1532246.32,889.29
2015,37010,"Alberca, La",37,7,1121,1590000.0,92080.0,82.14,973210.0,868.16
2015,37011,"Alberguería de Argañán, La",37,7,138,0.0,2880.01,20.87,110743.64,802.5
2015,46011,Alberic,46,10,10498,2632000.0,325524.13,31.01,5845901.92,556.86
2015,26006,Alberite,26,17,2456,542000.0,91000.0,37.05,3119850.0,1270.29
2015,50010,Alberite de San Juan,50,2,84,0.0,,,269053.61,3203.02
2015,22011,Albero Alto,22,2,124,0.0,,,191620.9,1545.33
2015,22012,Albero Bajo,22,2,138,0.0,5000.0,36.23,160155.66,1160.55
